"gene_ensembl_ID" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene" "DE"
"ENSMUSG00000021024" 1663.07032763187 -9.51183859880597 1.44406420454496 -6.58685297292808 4.49246749658722e-11 5.15966959712324e-09 "Psma6" TRUE
"ENSMUSG00000035184" 356.15426269496 13.3668212985536 2.03468928619265 6.5694656128877 5.04961541138297e-11 5.67221003880916e-09 "Fam124a" TRUE
"ENSMUSG00000040564" 941.454457769992 14.8971689436833 2.26983559483428 6.56310482467828 5.26987728739823e-11 5.8531165152732e-09 "Apoc1" TRUE
"ENSMUSG00000038296" 21.0002609062711 -21.201727509685 3.23592502746551 -6.55198353785437 5.67778023438092e-11 6.23609529076171e-09 "Galnt18" TRUE
"ENSMUSG00000004500" 20.7506285614261 -17.9460829843008 2.73973666439481 -6.55029485772313 5.74235892519516e-11 6.23771626104991e-09 "Zfp324" TRUE
"ENSMUSG00000078683" 368.884983143282 27.6187898375548 4.24726964656751 6.50271636505945 7.88824438534304e-11 8.47557562490391e-09 "Mup1" TRUE
"ENSMUSG00000069874" 1141.78999760904 -12.6642236448241 1.95016557574598 -6.49392226092379 8.36299141029431e-11 8.88905054739347e-09 "Irgm2" TRUE
"ENSMUSG00000052270" 31.0648007529854 -18.3735355928354 2.84477239896848 -6.45870144110568 1.05605222393299e-10 1.11054002484868e-08 "Fpr2" TRUE
"ENSMUSG00000037852" 1797.87978224719 -12.4087105113511 1.92825000207254 -6.43521872060876 1.23295655684185e-10 1.28292374361912e-08 "Cpe" TRUE
"ENSMUSG00000073414" 2820.61478928954 15.6577453495695 2.4375076680806 6.4236701917328 1.33027259180587e-10 1.36976505937511e-08 "Mpig6b" TRUE
"ENSMUSG00000031167" 1372.87916648754 -11.1800508109057 1.74153639362712 -6.41964810601565 1.36589711271533e-10 1.39194772775166e-08 "Rbm3" TRUE
"ENSMUSG00000078688" 297.784000511207 27.2277262834337 4.24732019495826 6.41056596480626 1.44980406040577e-10 1.45069537171682e-08 "Mup2" TRUE
"ENSMUSG00000019810" 832.989672246908 -11.7277425967513 1.8295322108512 -6.41024111365326 1.45289673039924e-10 1.45069537171682e-08 "Fuca2" TRUE
"ENSMUSG00000078672" 1038.30834862737 14.1826419521259 2.22663629814567 6.36953684979317 1.89599864247416e-10 1.87419465808571e-08 "Mup20" TRUE
"ENSMUSG00000023034" 1039.0079397786 -11.4784224717522 1.81494744234173 -6.32438284655902 2.54246657637625e-10 2.48834476311676e-08 "Nr4a1" TRUE
"ENSMUSG00000032849" 628.904196860542 -11.9436747539629 1.89426233302377 -6.30518516139073 2.87849565276555e-10 2.7896009340772e-08 "Abcc4" TRUE
"ENSMUSG00000016496" 528.607911921543 -11.6789681054667 1.85583472637602 -6.29310786110401 3.11171955263173e-10 2.98634444444317e-08 "Cd274" TRUE
"ENSMUSG00000057561" 612.831055265667 -11.3115244563417 1.8014409286114 -6.27915369118486 3.40420951710765e-10 3.23563568044318e-08 "Eif1a" TRUE
